"id_idee","id_membre","link","id_categorie","idee","provenance","tags","statut","date_post","id_v1"
"5961","108",,"7","Lorie au cinéma? En effet, après son passage au festival de Beijing pour rencontrer divers producteurs de films japonais,Lorie a monté hier pour la 1ère fois les marches à Cannes.Après deux films,elle sera en 2014 aux côtés de Smaïn dans un film.",NULL,"Lorie cinéma jackie Chan","1","2013-05-16 16:51:50",NULL
"5962","108","http://www.transavia.com","7","Semaine de promo, -35% chez transavia.com réservezmaintenant et partez à partir du 27 mai jusqu'au 26 octobre. ",NULL,"transavia vols voyage promos","1","2013-05-16 22:56:56",NULL
"5963","3900","http://bit.ly/104kHJ4","7","Gotye doit un million de dollars pour son célèbre titre Somebody That I Used To Know. Le chanteur australo-belge a reconnu avoir repris l'introduction et le riff de guitare de Seville, un morceau de Luis Bonfá.						",NULL,"Gotye chanson Somebodu that i used to know Million Dollar Dette Brésil ","1","2013-05-17 09:39:53",NULL
"5964","4373","http://bit.ly/Z0t9xD","7","A Disney World, des familles aisées de Manhattan louaient des handicapés pour ne pas faire la queue.",NULL,"Disney World Parc Attraction Familles Manhattan Handicapé","1","2013-05-17 09:48:00",NULL
"5965","1201",,"1","Les ventes privées Sandro c'est maintenant ! Direction l'espace Arletti (58 av Philippe Auguste, 75011 Paris) pour vous faire plaisir ! ",NULL,"sandro ventes privées","1","2013-05-17 11:19:30",NULL
"5966","1",,"7","Toutes devant la TV ce soir ? Avec l'Eurovision et/ou la finale de The Voice !",NULL,,"1","2013-05-18 23:38:18",NULL
"5967","1",,"7","Le danematk gagnant de l'Eurovision et Yoann, gagnant de The Voice !",NULL,,"1","2013-05-19 00:22:55",NULL
